Name,RAh,RAm,RAs,DE-,DEd,DEm,DEs,FileName,ra,de,decimal_date,helio_corr
WD0000-186,0,3,11.18,-,18,21,59.2,WD0000m186_b_2000_09_17T03_27_45_all.dat.gz,0.0531292,18.36659,2000.7103825136612,6.397898317290547
WD0005-163,0,7,34.82,-,16,5,31.6,WD0005m163_a_2000_09_16T03_32_13_all.dat.gz,0.1263222,16.09172,2000.707650273224,6.4970010232433975
WD0005-163,0,7,34.82,-,16,5,31.6,WD0005m163_a_2002_08_04T10_00_27_all.dat.gz,0.12631726666666668,16.09177,2002.5890410958905,23.545764233022773
WD0011+000,0,13,39.15,+,0,19,24.6,WD0011p000_a_2000_07_14T07_14_24_all.dat.gz,0.22757493333333334,0.32435,2000.532786885246,27.480694249826833
WD0011+000,0,13,39.15,+,0,19,24.6,WD0011p000_b_2000_07_17T07_38_30_all.dat.gz,0.22741266666666665,0.32411,2000.5409836065573,26.917229941745923
WD0013-241,0,16,12.62,-,23,50,6.4,WD0013m241_a_2000_09_16T02_44_14_all.dat.gz,0.2701792,23.83475,2000.707650273224,7.8913143555478005
WD0013-241,0,16,12.62,-,23,50,6.4,WD0013m241_b_2000_09_17T01_52_33_all.dat.gz,0.27018400000000004,23.83473,2000.7103825136612,7.439767028439324
WD0016-220,0,19,28.22,-,21,49,5.1,WD0016m220_a_2000_09_16T05_11_46_all.dat.gz,0.3244942666666667,21.8178,2000.707650273224,7.5819545906224874
WD0016-220,0,19,28.22,-,21,49,5.1,WD0016m220_b_2000_09_17T03_47_14_all.dat.gz,0.3245050666666666,21.81772,2000.7103825136612,7.122878440133997
WD0016-258,0,18,44.49,-,25,36,42.6,WD0016m258_a_2000_09_16T03_01_09_all.dat.gz,0.3123727333333333,25.61199,2000.707650273224,8.194860542551305
WD0016-258,0,18,44.49,-,25,36,42.6,WD0016m258_b_2000_09_17T02_10_05_all.dat.gz,0.3123438,25.61192,2000.7103825136612,7.750468255772303
WD0017+061,0,19,40.86,+,6,24,7.6,WD0017p061_a_2002_09_18T04_15_19_all.dat.gz,0.32772206666666664,6.40386,2002.7123287671234,4.003151259565571
WD0017+061,0,19,40.86,+,6,24,7.6,WD0017p061_b_2002_09_26T07_34_57_all.dat.gz,0.3280692,6.40328,2002.7342465753425,-0.03165689755130293
WD0018-339,0,21,12.90,-,33,42,27.4,WD0018m339_a_2002_09_15T02_14_36_all.dat.gz,0.35363399999999995,33.70787,2002.704109589041,10.007847293316342
WD0018-339,0,21,12.90,-,33,42,27.4,WD0018m339_b_2002_09_18T02_33_16_all.dat.gz,0.35363486666666666,33.70783,2002.7123287671234,8.78718337990906
