# wdid:USNO-B1.0 1068-00000833,resolution:nan,source:/home/bergeron/SPY/HS0002+1635_an,wavelength_min: 3290.10,wavelength_max: 6641.90
wavelength,flux
3347.20,7.89140e-12
3347.30,7.68034e-12
3347.40,7.24051e-12
3347.50,7.85544e-12
3347.60,7.49406e-12
3347.70,7.97226e-12
3347.80,8.38921e-12
3347.90,8.01621e-12
3348.00,7.73851e-12
3348.10,8.15216e-12
3348.20,8.44469e-12
3348.30,8.24400e-12
3348.40,8.64653e-12
3348.50,8.80413e-12
3348.60,7.76747e-12
3348.70,8.26954e-12
3348.80,7.71902e-12
3348.90,8.03821e-12
3349.00,8.56807e-12
3349.10,8.69354e-12
3349.20,8.61698e-12
3349.30,8.62236e-12
3349.40,9.16773e-12
3349.50,7.77314e-12
3349.60,9.43342e-12
3349.70,8.65661e-12
3349.80,8.78327e-12
3349.90,8.50305e-12
3350.00,7.59540e-12
3350.10,7.41729e-12
3350.20,7.75767e-12
3350.30,8.49198e-12
3350.40,8.75870e-12
3350.50,7.94030e-12
3350.60,8.21601e-12
3350.70,8.20751e-12
3350.80,8.01775e-12
3350.90,7.68975e-12
3351.00,7.85577e-12
3351.10,8.63163e-12
3351.20,7.62445e-12
3351.30,8.95822e-12
3351.40,8.30985e-12
3351.50,7.55387e-12
3351.60,7.62627e-12
3351.70,8.36005e-12
3351.80,8.28336e-12
3351.90,8.17142e-12
3352.00,7.75926e-12
3352.10,8.09743e-12
3352.20,8.51061e-12
3352.30,7.73291e-12
3352.40,8.28220e-12
3352.50,7.68322e-12
3352.60,8.28131e-12
3352.70,8.48015e-12
3352.80,8.58002e-12
3352.90,7.07082e-12
3353.00,7.89627e-12
3353.10,8.34716e-12
3353.20,8.42867e-12
3353.30,7.72365e-12
3353.40,7.66672e-12
3353.50,8.14584e-12
3353.60,7.28949e-12
3353.70,8.30550e-12
3353.80,8.10377e-12
3353.90,7.56132e-12
3354.00,7.93213e-12
3354.10,7.70595e-12
3354.20,7.79947e-12
3354.30,6.93899e-12
3354.40,8.30259e-12
3354.50,8.45097e-12
3354.60,8.07836e-12
3354.70,7.76464e-12
3354.80,7.90813e-12
3354.90,7.56132e-12
3355.00,8.07540e-12
3355.10,7.86787e-12
3355.20,8.29792e-12
3355.30,9.06298e-12
3355.40,8.29365e-12
3355.50,7.87425e-12
3355.60,8.26797e-12
3355.70,7.73959e-12
3355.80,7.86589e-12
3355.90,7.80926e-12
3356.00,7.88148e-12
3356.10,8.52704e-12
3356.20,7.67126e-12
3356.30,8.38377e-12
3356.40,7.55005e-12
3356.50,7.75005e-12
3356.60,8.41308e-12
3356.70,7.68783e-12
3356.80,7.33423e-12
3356.90,7.64176e-12
3357.00,8.53086e-12
3357.10,8.61896e-12
3357.20,7.74125e-12
3357.30,7.58568e-12
3357.40,8.14637e-12
3357.50,7.98291e-12
3357.60,8.00821e-12
3357.70,7.69692e-12
3357.80,8.26640e-12
3357.90,7.96563e-12
3358.00,7.70808e-12
3358.10,8.64968e-12
3358.20,8.75815e-12
3358.30,7.91599e-12
3358.40,8.23061e-12
3358.50,6.77691e-12
3358.60,7.02490e-12
3358.70,7.88627e-12
3358.80,7.61843e-12
3358.90,7.95683e-12
3359.00,7.75783e-12
3359.10,8.15952e-12
3359.20,7.81070e-12
3359.30,8.49852e-12
3359.40,8.69929e-12
3359.50,7.78574e-12
3359.60,7.88372e-12
3359.70,7.31866e-12
3359.80,8.17647e-12
3359.90,9.40792e-12
3360.00,7.67094e-12
3360.10,7.45824e-12
3360.20,7.69784e-12
3360.30,9.15216e-12
3360.40,7.53755e-12
3360.50,8.38518e-12
3360.60,8.00557e-12
3360.70,8.53348e-12
3360.80,8.18473e-12
3360.90,8.32538e-12
3361.00,7.92985e-12
3361.10,7.88059e-12
3361.20,7.91648e-12
3361.30,7.89094e-12
3361.40,7.79983e-12
3361.50,7.73471e-12
3361.60,8.47209e-12
3361.70,7.64327e-12
3361.80,7.61093e-12
